org.wvlet.airframe%airframe-parquet_3%_
org.wvlet.airframe%airframe-codec_3%23.3.0
org.wvlet.airframe%airframe-sql_3%23.3.0
org.scala-lang%scala3-library_3%3.2.2
org.scalacheck%scalacheck_3%1.17.0
org.apache.parquet%parquet-hadoop%1.12.3
org.apache.hadoop%hadoop-client%3.3.4
org.apache.hadoop%hadoop-aws%3.3.4
software.amazon.awssdk%auth%2.20.7
org.xerial.snappy%snappy-java%1.1.9.1
org.slf4j%slf4j-jdk14%2.0.6
org.apache.parquet%parquet-avro%1.12.3
