7.4.0-M13,scalaz-scalacheck-binding,scalaz-core,scalaz-effect,scalaz,scalaz-iteratee
7.3.7,scalaz-scalacheck-binding,scalaz-core,scalaz-effect,scalaz,scalaz-iteratee
7.2.35,scalaz-core,scalaz-effect,scalaz-concurrent,scalaz,scalaz-iteratee
7.2.35-scalacheck-1.15,scalaz-scalacheck-binding
7.4.0-M12,scalaz-scalacheck-binding,scalaz-core,scalaz-effect,scalaz,scalaz-iteratee
7.4.0-M11,scalaz-scalacheck-binding,scalaz-core,scalaz-effect,scalaz,scalaz-iteratee
7.2.34,scalaz-core,scalaz-effect,scalaz-concurrent,scalaz,scalaz-iteratee
7.2.34-scalacheck-1.15,scalaz-scalacheck-binding
7.3.6,scalaz-scalacheck-binding,scalaz-core,scalaz-effect,scalaz,scalaz-iteratee
7.4.0-M10,scalaz-scalacheck-binding,scalaz-core,scalaz-effect,scalaz,scalaz-iteratee
7.4.0-M9,scalaz-scalacheck-binding,scalaz-core,scalaz-effect,scalaz,scalaz-iteratee
7.4.0-M8,scalaz-scalacheck-binding,scalaz-core,scalaz-effect,scalaz-iteratee
7.4.0-M7,scalaz-scalacheck-binding,scalaz-core,scalaz-effect,scalaz-iteratee
