0.2.3,newtypes-circe-v0-14,newtypes-pureconfig-v0-17,newtypes-core
0.2.2,newtypes-circe-v0-14,newtypes-pureconfig-v0-17,newtypes-core
3.4.1,monix-catnap,monix,monix-execution,monix-eval,monix-internal-jctools,monix-reactive,monix-tail,monix-java
0.2.1,newtypes-circe-v0-14,newtypes-core
0.2.0,newtypes-circe-v0-14,newtypes-core
0.1.0,newtypes-core,monix-nio
0.0.1,newtypes-core
3.4.0,monix-catnap,monix,monix-execution,monix-eval,monix-internal-jctools,monix-reactive,monix-tail,monix-java
