0.11.13,compilerplugin,lenses,scalapb-runtime,scalapb-runtime-grpc
0.11.12-tmp,compilerplugin,lenses,scalapb-runtime,scalapb-runtime-grpc
0.11.12,compilerplugin,lenses,scalapb-runtime,scalapb-runtime-grpc
0.11.11,compilerplugin,lenses,scalapb-runtime,scalapb-runtime-grpc
0.11.10,compilerplugin,lenses,scalapb-runtime,scalapb-runtime-grpc
0.11.9,compilerplugin,lenses,scalapb-runtime,scalapb-runtime-grpc
0.11.8,compilerplugin,lenses,scalapb-runtime,scalapb-runtime-grpc
0.11.7,compilerplugin,lenses,scalapb-runtime,scalapb-runtime-grpc
0.11.6,compilerplugin,lenses,scalapb-runtime,scalapb-runtime-grpc
0.11.5,compilerplugin,lenses,scalapb-runtime,scalapb-runtime-grpc
0.11.4,compilerplugin,lenses,scalapb-runtime,scalapb-runtime-grpc
0.11.3,compilerplugin,lenses,scalapb-runtime,scalapb-runtime-grpc
