0.4.16,fields-core,fields-cats,fields-zio
0.4.14,fields-core,fields-cats,fields-zio
0.4.13,fields-core,fields-cats,fields-zio
0.4.12,fields-core,fields-cats,fields-zio
0.4.11,fields-core,fields-cats,fields-zio
0.4.10,fields-core,fields-cats,fields-zio
0.4.9,fields-core,fields-cats,fields-zio
0.4.8,fields-core,fields-cats,fields-zio
0.4.7,fields-core,fields-cats,fields-zio
0.4.6,fields-core,fields-cats,fields-zio
0.4.5,fields-core,fields-cats,fields-zio
0.4.4,fields-core,fields-cats,fields-zio
0.4.3,fields-core,fields-cats,fields-zio
0.4.2,fields-core,fields-cats,fields-zio
0.4.1,fields-core,fields-cats,fields-zio
0.4.0,fields-core,fields-cats,fields-zio
0.3.3,fields-core,fields-cats,fields-zio
0.3.2,fields-core,fields-cats,fields-zio
0.3.1,fields-core,fields-cats,fields-zio
0.3.0,fields-core,fields-cats,fields-zio
0.2.2,fields-core,fields-cats,fields-zio
0.2.1,fields-core,fields-cats,fields-zio
0.1.2,fields-core,fields-cats,fields-zio
0.1.1,fields-core,fields-cats,fields-zio
0.0.2,fields-core,fields-cats,fields-zio
0.0.1,fields-core,fields-cats,fields-zio
