1.3.13,fs2-ce2,fs2,akka,monix,zio1,core,ws,armeria,zio
1.3.12,fs2-ce2,fs2,akka,monix,zio1,core,ws,armeria,zio
1.3.11,fs2-ce2,fs2,akka,monix,zio1,core,ws,armeria,zio
1.3.10,fs2-ce2,fs2,akka,monix,zio1,core,ws,armeria,zio
1.3.9,fs2-ce2,fs2,akka,monix,zio1,core,ws,armeria,zio
1.3.8,fs2-ce2,fs2,akka,monix,zio1,core,ws,armeria,zio
1.3.7,fs2-ce2,fs2,akka,monix,zio1,core,ws,armeria,zio
1.3.6,fs2-ce2,fs2,akka,monix,zio1,core,ws,armeria,zio
1.3.5,fs2-ce2,fs2,akka,monix,zio1,core,ws,armeria,zio
1.3.4,fs2-ce2,fs2,akka,monix,zio1,core,ws,armeria,zio
1.3.3,fs2-ce2,fs2,akka,monix,zio1,core,ws,armeria,zio
1.3.2,fs2-ce2,fs2,akka,monix,zio1,core,ws,armeria,zio
1.3.1,fs2-ce2,fs2,akka,monix,zio1,core,ws,zio
1.3.0,fs2-ce2,fs2,monix,zio1,core,ws,zio
1.2.7,fs2-ce2,fs2,monix,core,ws,zio
1.2.6,fs2-ce2,fs2,monix,core,ws,zio
1.2.5,fs2-ce2,fs2,monix,core,ws,zio
1.2.4,fs2-ce2,fs2,monix,core,ws
