0.14.0,trace4cats-exporter-http
0.13.1+33-dafd2381,trace4cats-exporter-http
0.13.1+29-db4c4de8,trace4cats-exporter-http
0.13.1+24-0ce6e048,trace4cats-exporter-http
0.13.1+26-3c5516ed,trace4cats-exporter-http
0.13.1+22-e23abf6b,trace4cats-exporter-http
0.13.1+14-639b5d65,trace4cats-exporter-http
0.13.1,trace4cats-exporter-http
0.13.0,trace4cats-exporter-http
0.12.0+71-84cc1a98,trace4cats-exporter-http
0.12.0+41-8ce63144,trace4cats-exporter-http
0.12.0,trace4cats-exporter-http
0.12.0-RC2+4-69bfcea6,trace4cats-exporter-http
