2.2.1,scodec-core,scodec-testkit
2.2.0,scodec-core,scodec-testkit
2.0-54-d824807,scodec-core,scodec-testkit
2.0-52-7cd9ebb,scodec-core,scodec-testkit
2.0-50-1511a42,scodec-core,scodec-testkit
2.0-48-9c5a29c,scodec-core,scodec-testkit
2.0-46-f35c085,scodec-core,scodec-testkit
2.0-44-065dcda,scodec-core,scodec-testkit
2.0-42-58cc591,scodec-core,scodec-testkit
2.0-40-1691eeb,scodec-core,scodec-testkit
2.0-38-e3c61c9,scodec-core,scodec-testkit
2.0-34-1b2dd50,scodec-core,scodec-testkit
2.0-32-c07f1cb,scodec-core,scodec-testkit
2.0-30-55f4a08,scodec-core,scodec-testkit
2.0-28-010da38,scodec-core,scodec-testkit
2.0-26-7cc2093,scodec-core,scodec-testkit
2.0-24-e783c42,scodec-core,scodec-testkit
2.0-22-5e73e84,scodec-core,scodec-testkit
2.0-20-4b68593,scodec-core,scodec-testkit
2.0-18-2c754c3,scodec-core,scodec-testkit
2.0-16-b9e5dee,scodec-core,scodec-testkit
2.0-14-438435f,scodec-core,scodec-testkit
2.0-13-c940936,scodec-core,scodec-testkit
2.0-10-75c741d,scodec-core,scodec-testkit
2.0-8-6f03cd2,scodec-core,scodec-testkit
2.0-6-bed9754,scodec-core,scodec-testkit
2.0-3-e964df1,scodec-core,scodec-testkit
2.1.0,scodec-core,scodec-testkit
2.0-60-391855d,scodec-core,scodec-testkit
2.0-59-e8d1b42,scodec-core,scodec-testkit
2.0-57-ef2e15c,scodec-core,scodec-testkit
2.0-54-b485893,scodec-core,scodec-testkit
2.0-52-4bd2978,scodec-core,scodec-testkit
2.0-50-510fbab,scodec-core,scodec-testkit
2.0-44-ed46da8,scodec-core,scodec-testkit
2.0-48-4bbb214,scodec-core,scodec-testkit
2.0-40-8cd58e4,scodec-core,scodec-testkit
2.0-38-6733657,scodec-core,scodec-testkit
2.0-33-85254f7,scodec-core,scodec-testkit
2.0-36-ace7f89,scodec-core,scodec-testkit
2.0-30-bca1ad7,scodec-core,scodec-testkit
2.0-27-c568b49,scodec-core,scodec-testkit
2.0-25-919f964,scodec-core,scodec-testkit
2.0-24-1b73f0f,scodec-core,scodec-testkit
2.0-20-68b8c48,scodec-core,scodec-testkit
2.0-18-47632e6,scodec-core,scodec-testkit
2.0-22-60a0fee,scodec-core,scodec-testkit
2.0-15-5d46d0e,scodec-core,scodec-testkit
2.0-9-a060f13,scodec-core,scodec-testkit
2.0-11-8568144,scodec-core,scodec-testkit
2.0-7-57a80f8,scodec-core,scodec-testkit
2.0-4-77a2b93,scodec-core,scodec-testkit
2.0-2-c2e37f9,scodec-core,scodec-testkit
2.0.0,scodec-core,scodec-testkit
