3.2.15,scalatest,scalatest-propspec,scalatest-shouldmatchers,scalatest-core,scalatest-funspec,scalatest-diagrams,scalatest-matchers-core,scalatest-refspec,scalatest-flatspec,scalatest-freespec,scalatest-featurespec,scalatest-funsuite,scalatest-mustmatchers,scalatest-wordspec
3.2.14,scalatest,scalatest-propspec,scalatest-shouldmatchers,scalatest-core,scalatest-funspec,scalatest-diagrams,scalatest-matchers-core,scalatest-refspec,scalatest-flatspec,scalatest-freespec,scalatest-featurespec,scalatest-funsuite,scalatest-mustmatchers,scalatest-wordspec
3.2.13,scalatest,scalatest-propspec,scalatest-shouldmatchers,scalatest-core,scalatest-funspec,scalatest-diagrams,scalatest-matchers-core,scalatest-refspec,scalatest-flatspec,scalatest-freespec,scalatest-featurespec,scalatest-funsuite,scalatest-mustmatchers,scalatest-wordspec
3.2.12,scalatest,scalatest-propspec,scalatest-shouldmatchers,scalatest-core,scalatest-funspec,scalatest-diagrams,scalatest-matchers-core,scalatest-refspec,scalatest-flatspec,scalatest-freespec,scalatest-featurespec,scalatest-funsuite,scalatest-mustmatchers,scalatest-wordspec
3.2.12-RC2,scalatest,scalatest-propspec,scalatest-shouldmatchers,scalatest-core,scalatest-funspec,scalatest-diagrams,scalatest-matchers-core,scalatest-refspec,scalatest-flatspec,scalatest-freespec,scalatest-featurespec,scalatest-funsuite,scalatest-mustmatchers,scalatest-wordspec
3.2.12-RC1,scalatest,scalatest-propspec,scalatest-shouldmatchers,scalatest-core,scalatest-funspec,scalatest-diagrams,scalatest-matchers-core,scalatest-refspec,scalatest-flatspec,scalatest-freespec,scalatest-featurespec,scalatest-funsuite,scalatest-mustmatchers,scalatest-wordspec
3.2.11,scalatest,scalatest-propspec,scalatest-shouldmatchers,scalatest-core,scalatest-funspec,scalatest-diagrams,scalatest-matchers-core,scalatest-refspec,scalatest-flatspec,scalatest-freespec,scalatest-featurespec,scalatest-funsuite,scalatest-mustmatchers,scalatest-wordspec
3.2.10,scalatest,scalatest-propspec,scalatest-shouldmatchers,scalatest-core,scalatest-funspec,scalatest-diagrams,scalatest-matchers-core,scalatest-refspec,scalatest-flatspec,scalatest-freespec,scalatest-featurespec,scalatest-funsuite,scalatest-mustmatchers,scalatest-wordspec
3.2.9,scalatest,scalatest-propspec,scalatest-shouldmatchers,scalatest-core,scalatest-funspec,scalatest-diagrams,scalatest-matchers-core,scalatest-refspec,scalatest-flatspec,scalatest-freespec,scalatest-featurespec,scalatest-funsuite,scalatest-mustmatchers,scalatest-wordspec
