0.17.0,doodle-turtle,doodle-docs,doodle-image,doodle-reactor,doodle-interact,doodle-examples,doodle-plot,doodle-golden,doodle,doodle-java2d,doodle-core
0.16.0,doodle-turtle,doodle-docs,doodle-image,doodle-reactor,doodle-interact,doodle-examples,doodle-plot,doodle-golden,doodle,doodle-java2d,doodle-core
0.15.0,doodle-turtle,doodle-docs,doodle-image,doodle-reactor,doodle-interact,doodle-examples,doodle-plot,doodle-golden,doodle,doodle-java2d,doodle-core
0.14.0,doodle-turtle,doodle-docs,doodle-image,doodle-reactor,doodle-interact,doodle-examples,doodle-plot,doodle-golden,doodle,doodle-java2d,doodle-core
0.13.0,doodle-turtle,doodle-docs,doodle-image,doodle-reactor,doodle-interact,doodle-examples,doodle-plot,doodle-golden,doodle,doodle-java2d,doodle-core
0.12.0,doodle-turtle,doodle-docs,doodle-image,doodle-reactor,doodle-interact,doodle-golden,doodle-java2d,doodle-core
0.11.2,doodle-turtle,docs,doodle-image,doodle-reactor,doodle-interact,doodle-examples,doodle-plot,doodle-golden,doodle,doodle-java2d,doodle-core
0.11.1,doodle-turtle,docs,doodle-image,doodle-reactor,doodle-interact,doodle-examples,doodle-plot,doodle-golden,doodle,doodle-java2d,doodle-core
0.11.0,doodle-turtle,docs,doodle-image,doodle-reactor,doodle-interact,doodle-examples,doodle-plot,doodle-golden,doodle,doodle-java2d,doodle-core
0.10.1,doodle-turtle,docs,doodle-image,doodle-reactor,doodle-interact,doodle-examples,doodle-plot,doodle-golden,doodle,doodle-java2d,doodle-core
0.10.0,doodle-turtle,docs,doodle-image,doodle-reactor,doodle-interact,doodle-examples,doodle-plot,doodle-golden,doodle,doodle-java2d,doodle-core
0.9.25,doodle-turtle,docs,doodle-image,doodle-reactor,doodle-interact,doodle-examples,doodle-plot,doodle-golden,doodle,doodle-java2d,doodle-core
