4.0.0-M2,saddle-jsoniter,saddle-ops-inlined,saddle-core,saddle-linalg,saddle-time,saddle-circe,saddle-binary,saddle-ops-inlined-macroimpl,saddle-spire-prng,saddle-io,saddle-stats
4.0.0-M1,saddle-jsoniter,saddle-ops-inlined,saddle-core,saddle-linalg,saddle-time,saddle-circe,saddle-binary,saddle-ops-inlined-macroimpl,saddle-spire-prng,saddle-io,saddle-stats
3.5.0,saddle-jsoniter,saddle-ops-inlined,saddle-core,saddle-linalg,saddle-time,saddle-circe,saddle-binary,saddle-ops-inlined-macroimpl,saddle-spire-prng,saddle-io,saddle-stats
3.4.0,saddle-jsoniter,saddle-core,saddle-circe,saddle-binary,saddle-spire-prng,saddle-io
