0.10.2,refined,refined-cats,refined-scalacheck,refined-scopt,refined-jsonpath
0.10.1,refined,refined-cats,refined-scalacheck,refined-scopt,refined-jsonpath
0.10.0,refined,refined-cats,refined-scalacheck,refined-scopt,refined-jsonpath
0.9.29,refined,refined-cats,refined-scalacheck,refined-scopt,refined-jsonpath
0.9.28,refined,refined-cats,refined-scalacheck,refined-scopt,refined-jsonpath
0.9.27,refined,refined-scalacheck,refined-scopt,refined-jsonpath
0.9.26,refined,refined-scalacheck,refined-scopt,refined-jsonpath
0.9.25,refined,refined-scalacheck,refined-scopt,refined-jsonpath
