4.2.1,utils,disjunction,nonempty,test-util,adt-macros,name-fn,multimap,stdlib-ext,types,cats-ext,compile-time,recursion
4.2.0,utils,disjunction,nonempty,test-util,adt-macros,name-fn,multimap,stdlib-ext,types,cats-ext,compile-time,recursion
4.1.0,utils,disjunction,nonempty,test-util,adt-macros,name-fn,multimap,stdlib-ext,types,cats-ext,compile-time,recursion
4.0.0,utils,disjunction,nonempty,test-util,adt-macros,name-fn,multimap,stdlib-ext,types,cats-ext,compile-time,recursion
4.0.0-RC1,utils,disjunction,nonempty,test-util,adt-macros,name-fn,multimap,stdlib-ext,types,cats-ext,compile-time,recursion
3.0.1,utils,disjunction,nonempty,test-util,adt-macros,name-fn,multimap,stdlib-ext,types,cats-ext,compile-time,recursion
3.0,utils,disjunction,nonempty,test-util,adt-macros,name-fn,multimap,stdlib-ext,types,cats-ext,compile-time,recursion
2.6,utils,scalaz-ext,nonempty,test-util,adt-macros,name-fn,stdlib-ext,types,compile-time,recursion
2.6-RC7,utils,scalaz-ext,nonempty,test-util,adt-macros,name-fn,stdlib-ext,types,compile-time,recursion
