6.0.2,eff-doobie,eff,eff-twitter,eff-monix,eff-cats-effect
6.0.1,eff-doobie,eff,eff-twitter,eff-monix,eff-cats-effect
6.0.0,eff-doobie,eff,eff-twitter,eff-monix,eff-cats-effect
5.23.0,eff-doobie,eff,eff-twitter,eff-monix,eff-cats-effect
5.22.0,eff-doobie,eff,eff-twitter,eff-monix,eff-cats-effect
5.21.0,eff-doobie,eff,eff-twitter,eff-monix,eff-cats-effect
5.20.0,eff-doobie,eff,eff-twitter,eff-monix,eff-cats-effect
5.19.0,eff-doobie,eff,eff-twitter,eff-monix,eff-cats-effect
5.18.0,eff-doobie,eff,eff-twitter,eff-monix,eff-cats-effect
5.17.0,eff-doobie,eff,eff-twitter,eff-monix,eff-cats-effect
