3.11.1,scribe-json-circe,scribe-logstash,scribe-slf4j,scribe-json-fabric,scribe-migration,scribe-slf4j2,scribe-cats,scribe-slack,scribe-log4j,scribe-file,scribe-config,scribe-json,scribe
3.11.0,scribe-logstash,scribe-slf4j,scribe-json-fabric,scribe-migration,scribe-slf4j2,scribe-cats,scribe-slack,scribe-log4j,scribe-file,scribe-config,scribe-json,scribe
3.10.7,scribe-slf4j,scribe-migration,scribe-slf4j2,scribe-cats,scribe-log4j,scribe-file,scribe-json,scribe
3.10.6,scribe-slf4j,scribe-migration,scribe-slf4j2,scribe-cats,scribe-log4j,scribe-file,scribe-json,scribe
3.10.5,scribe-slf4j,scribe-migration,scribe-slf4j2,scribe-cats,scribe-log4j,scribe-file,scribe-json,scribe
3.10.4,scribe-slf4j,scribe-migration,scribe-slf4j2,scribe-cats,scribe-log4j,scribe-file,scribe-json,scribe
3.10.3,scribe-slf4j,scribe-migration,scribe-slf4j2,scribe-cats,scribe-file,scribe-json,scribe
3.10.2,scribe-slf4j,scribe-migration,scribe-slf4j2,scribe-cats,scribe-file,scribe-json,scribe
3.10.1,scribe-slf4j,scribe-migration,scribe-slf4j2,scribe-cats,scribe-file,scribe-json,scribe
3.10.0,scribe-slf4j,scribe-migration,scribe-slf4j2,scribe-cats,scribe-file,scribe-json,scribe
3.9.0,scribe-slf4j,scribe-migration,scribe-slf4j2,scribe-cats,scribe-file,scribe-json,scribe
3.8.3,scribe-slf4j,scribe-migration,scribe-slf4j2,scribe-cats,scribe-file,scribe-json,scribe
3.8.2,scribe-slf4j,scribe-migration,scribe-slf4j2,scribe-cats,scribe-file,scribe-json,scribe
3.8.1,scribe-slf4j,scribe-migration,scribe-slf4j2,scribe-cats,scribe-file,scribe-json,scribe
3.8.0,scribe-slf4j,scribe-migration,scribe-slf4j2,scribe-cats,scribe-file,scribe-json,scribe
3.7.1,scribe-slf4j,scribe-migration,scribe-slf4j2,scribe-cats,scribe-file,scribe-json,scribe
3.7.0,scribe-slf4j,scribe-migration,scribe-slf4j2,scribe-cats,scribe-file,scribe-json,scribe
3.6.10,scribe-slf4j,scribe-migration,scribe-slf4j2,scribe-file,scribe-json,scribe
3.6.9,scribe-slf4j,scribe-migration,scribe-slf4j2,scribe-file,scribe-json,scribe
3.6.8,scribe-slf4j,scribe-migration,scribe-slf4j2,scribe-file,scribe-json,scribe
3.6.7,scribe-slf4j,scribe-migration,scribe-slf4j2,scribe-file,scribe-json,scribe
3.6.6,scribe-slf4j,scribe-migration,scribe-slf4j2,scribe-file,scribe-json,scribe
3.6.5,scribe-slf4j,scribe-migration,scribe-slf4j2,scribe-file,scribe-json,scribe
3.6.4,scribe-slf4j,scribe-migration,scribe-slf4j2,scribe-file,scribe-json,scribe
3.6.3,scribe-slf4j,scribe-migration,scribe-slf4j18,scribe-file,scribe-json,scribe
3.6.2,scribe-slf4j,scribe-migration,scribe-slf4j18,scribe-file,scribe-json,scribe
3.6.1,scribe-slf4j,scribe-migration,scribe-slf4j18,scribe-file,scribe-json,scribe
3.6.0,scribe-slf4j,scribe-migration,scribe-slf4j18,scribe-file,scribe-json,scribe
3.5.5,scribe-slf4j,scribe-migration,scribe-slf4j18,scribe-file,scribe-json,scribe
