5.0.0-RC-16,specs2-common,specs2-examples,specs2-xml,specs2-matcher-extra,specs2-markdown,specs2-tests,specs2-matcher,specs2-html,specs2-junit,specs2-form,specs2-scalacheck,specs2-fp,specs2-guide,specs2-core
5.0.0-RC-15,specs2-common,specs2-examples,specs2-xml,specs2-matcher-extra,specs2-markdown,specs2-tests,specs2-matcher,specs2-html,specs2-junit,specs2-form,specs2-scalacheck,specs2-fp,specs2-guide,specs2-core
5.0.0-RC-14,specs2-common,specs2-examples,specs2-xml,specs2-matcher-extra,specs2-markdown,specs2-tests,specs2-matcher,specs2-html,specs2-junit,specs2-form,specs2-scalacheck,specs2-fp,specs2-guide,specs2-core
5.0.0-RC-13,specs2-common,specs2-examples,specs2-xml,specs2-matcher-extra,specs2-markdown,specs2-tests,specs2-matcher,specs2-html,specs2-junit,specs2-form,specs2-scalacheck,specs2-fp,specs2-guide,specs2-core
5.0.0-RC-12,specs2-common,specs2-examples,specs2-xml,specs2-matcher-extra,specs2-markdown,specs2-tests,specs2-matcher,specs2-html,specs2-junit,specs2-form,specs2-scalacheck,specs2-fp,specs2-guide,specs2-core
5.0.0-RC-11,specs2-common,specs2-examples,specs2-xml,specs2-matcher-extra,specs2-markdown,specs2-tests,specs2-matcher,specs2-html,specs2-junit,specs2-form,specs2-scalacheck,specs2-fp,specs2-guide,specs2-core
5.0.0-RC-10,specs2-common,specs2-examples,specs2-xml,specs2-matcher-extra,specs2-markdown,specs2-tests,specs2-matcher,specs2-html,specs2-junit,specs2-form,specs2-scalacheck,specs2-fp,specs2-guide,specs2-core
5.0.0-RC-09,specs2-common,specs2-examples,specs2-xml,specs2-matcher-extra,specs2-markdown,specs2-tests,specs2-matcher,specs2-html,specs2-junit,specs2-form,specs2-scalacheck,specs2-fp,specs2-guide,specs2-core
5.0.0-RC-08,specs2-common,specs2-examples,specs2-xml,specs2-matcher-extra,specs2-markdown,specs2-tests,specs2-matcher,specs2-html,specs2-junit,specs2-form,specs2-scalacheck,specs2-fp,specs2-guide,specs2-core
5.0.0-RC-07,specs2-common,specs2-examples,specs2-xml,specs2-matcher-extra,specs2-markdown,specs2-tests,specs2-matcher,specs2-html,specs2-junit,specs2-form,specs2-scalacheck,specs2-fp,specs2-guide,specs2-core
5.0.0-RC-06,specs2-common,specs2-examples,specs2-xml,specs2-matcher-extra,specs2-markdown,specs2-tests,specs2-matcher,specs2-html,specs2-junit,specs2-form,specs2-scalacheck,specs2-fp,specs2-guide,specs2-core
5.0.0-RC-05,specs2-common,specs2-examples,specs2-xml,specs2-matcher-extra,specs2-markdown,specs2-tests,specs2-matcher,specs2-html,specs2-junit,specs2-form,specs2-scalacheck,specs2-fp,specs2-guide,specs2-core
5.0.0-RC-04,specs2-common,specs2-examples,specs2-xml,specs2-matcher-extra,specs2-markdown,specs2-tests,specs2-matcher,specs2-html,specs2-junit,specs2-form,specs2-scalacheck,specs2-fp,specs2-guide,specs2-core
5.0.0-RC-03,specs2-common,specs2-examples,specs2-xml,specs2-matcher-extra,specs2-markdown,specs2-tests,specs2-matcher,specs2-html,specs2-junit,specs2-form,specs2-scalacheck,specs2-fp,specs2-guide,specs2-core
5.0.0-RC-02,specs2-common,specs2-examples,specs2-xml,specs2-matcher-extra,specs2-markdown,specs2-tests,specs2-matcher,specs2-html,specs2-junit,specs2-form,specs2-scalacheck,specs2-fp,specs2-guide,specs2-core
5.0.0-RC-01,specs2-common,specs2-examples,specs2-xml,specs2-matcher-extra,specs2-markdown,specs2-tests,specs2-matcher,specs2-html,specs2-junit,specs2-form,specs2-scalacheck,specs2-fp,specs2-guide,specs2-core
1.0.0-ALPHA-01,specs2-cats
5.0.0-ALPHA-03,specs2-common,specs2-xml,specs2-matcher-extra,specs2-markdown,specs2-tests,specs2-matcher,specs2-html,specs2-junit,specs2-form,specs2-scalacheck,specs2-fp,specs2-guide,specs2-core
