0.14.9,camundala-bpmn,camundala-api,camundala-domain,camundala-dmn,camundala-simulation
0.14.8,camundala-bpmn,camundala-api,camundala-domain,camundala-simulation
0.14.7,camundala-bpmn,camundala-api,camundala-domain,camundala-simulation
0.14.6,camundala-bpmn,camundala-api,camundala-domain,camundala-simulation
0.14.5,camundala-bpmn,camundala-api,camundala-domain,camundala-simulation
0.14.4,camundala-bpmn,camundala-api,camundala-domain,camundala-simulation
0.14.3,camundala-bpmn,camundala-api,camundala-domain,camundala-simulation
0.14.0,camundala-bpmn,camundala-api,camundala-domain,camundala-simulation
0.13.0,camundala-bpmn,camundala-api,camundala-domain,camundala-simulation
0.12.0,camundala-bpmn,camundala-api,camundala-domain,camundala-simulation
0.11.0,camundala-bpmn,camundala-api,camundala-domain,camundala-simulation
0.10.4,camundala-bpmn,camundala-api,camundala-domain,camundala-simulation
0.10.3,camundala-bpmn,camundala-api,camundala-domain,camundala-simulation
0.10.0,camundala-bpmn,camundala-api,camundala-domain,camundala-simulation
0.9.0,camundala-bpmn,camundala-api,camundala-simulation
0.8.1,camundala-bpmn,camundala-api,camundala-simulation
0.8.0,camundala-bpmn,camundala-api,camundala-simulation
0.7.0,camundala-bpmn,camundala-api,camundala-simulation
0.6.3,camundala-bpmn,camundala-api,camundala-simulation
0.6.2,camundala-bpmn,camundala-camunda,camundala-api,camundala-test,camundala-dmn,camundala-simulation
0.5.0,camundala-bpmn,camundala-camunda,camundala-api,camundala-test,camundala-dmn,camundala-gatling,camundala-simulation
0.4.0,camundala-camunda,camundala-api,camundala-test,camundala-gatling
0.3.10,camundala-camunda,camundala-api,camundala-test,camundala-gatling
0.3.9,camundala-camunda,camundala-api,camundala-test,camundala-gatling
0.3.8,camundala-camunda,camundala-api,camundala-test,camundala-gatling
0.3.7,camundala-camunda,camundala-api,camundala-test,camundala-gatling
0.3.6,camundala-camunda,camundala-api,camundala-test,camundala-gatling
0.3.5,camundala-camunda,camundala-api,camundala-test,camundala-gatling
