1.1.37,scodec-bits
1.1.36,scodec-bits
1.1.35,scodec-bits
1.1.34,scodec-bits
1.1.33,scodec-bits
1.1.32,scodec-bits
1.1.31,scodec-bits
1.1-25-e6a7c04,scodec-bits
1.1-23-e1fd764,scodec-bits
1.1-17-015a818,scodec-bits
1.1-19-13940ca,scodec-bits
1.1-15-e1fe45f,scodec-bits
1.1-11-341ca1a,scodec-bits
1.1-7-fa1c7d1,scodec-bits
1.1-9-4829fd6,scodec-bits
1.1-13-0b9beb7,scodec-bits
1.1-5-cf8e4e6,scodec-bits
1.1-2-f0af29c,scodec-bits
1.1.30,scodec-bits
1.1-28-345b563,scodec-bits
1.1-7-8f5b68e,scodec-bits
1.1-5-bfc887e,scodec-bits
1.1-3-85a8a45,scodec-bits
1.1.29,scodec-bits
1.1-26-62b07c7,scodec-bits
1.1-23-e7186c2,scodec-bits
1.1-21-320cb79,scodec-bits
1.1-7-9850ae1,scodec-bits
1.1-11-207bc0b,scodec-bits
1.1-5-36e229c,scodec-bits
1.1-2-a19b615,scodec-bits
1.1.28,scodec-bits
1.1-52-b62e817,scodec-bits
1.1-48-c41e1ab,scodec-bits
1.1-46-38a2000,scodec-bits
1.1-41-4718a98,scodec-bits
1.1-43-1f174dc,scodec-bits
1.1-36-b58220f,scodec-bits
1.1-32-77bb58f,scodec-bits
1.1-30-eaff472,scodec-bits
1.1-34-a61ddec,scodec-bits
1.1-28-0a14d1b,scodec-bits
1.1-25-65ab64b,scodec-bits
1.1-20-c12b4e2,scodec-bits
1.1-16-28d27ec,scodec-bits
1.1-14-af68ef7,scodec-bits
1.1-12-3f9c745,scodec-bits
1.1-9-b2d347a,scodec-bits
1.1-5-1cd9755,scodec-bits
1.1-2-daa2fd1,scodec-bits
1.1-7-f7453d8,scodec-bits
1.1.27,scodec-bits
