japgolly,test-state,139
zio,zio-query,138
svroonland,rezilience,136
japgolly,clear-config,136
vagmcs,optimus,135
erikerlandson,coulomb,133
typelevel,feral,133
timwspence,cats-stm,133
gaelrenoux,tranzactio,131
zio,zio-aws,131
zio,zio-direct,129
sbt-jib,sbt-jib,127
circe,circe-yaml,126
fwbrasil,kyo,125
dwickern,scala-nameof,123
plokhotnyuk,rtree2d,122
foundweekends,pamflet,120
scodec,scodec-bits,118
circe,circe-config,118
softwaremill,scala-common,118
vladkopanev,cats-saga,118
47degrees,scalacheck-toolbox,118
eed3si9n,gigahorse,118
gemini-hlsw,gsp-graphql,118
scala,scala-swing,117
sbt,sbt-jni,117
fthomas,fs2-cron,116
cquiroz,scala-java-time,115
emergentorder,onnx-scala,115
es-meta,esmeta,115
com-lihaoyi,castor,115
zio,izumi-reflect,114
j-mie6,parsley,113
zio,zio-schema,113
typelevel,munit-cats-effect,110
gzoller,scalajack,110
itv,scala-pact,109
typelevel,fabric,105
gnieh,fs2-data,105
zio,zio-telemetry,103
scala,scala-collection-contrib,101
polynote,uzhttp,101
inoio,solrs,101
playframework,scalatestplus-play,100
vigoo,prox,100
profunktor,http4s-jwt-auth,100
typelevel,literally,99
lolgab,snunit,99
ekrich,sconfig,99
carueda,tscfg,98
ua-parser,uap-scala,97
zio,zio-cli,96
cornerman,sloth,92
takezoe,solr-scala-client,91
sangria-graphql,sangria-relay,91
sake92,hepek,91
coralogix,zio-k8s,91
eed3si9n,verify,90
typelevel,cats-time,90
tinkoff,phobos,88
wangzaixiang,scala-sql,88
scala-tsi,scala-tsi,87
com-lihaoyi,geny,86
monix,monix-bio,84
ollls,zio-tls-http,84
joan38,kubernetes-client,84
akka,akka-projection,83
eed3si9n,expecty,82
raquo,scala-dom-types,82
pityka,nspl,82
oyvindberg,tui-scala,82
plokhotnyuk,fast-string-interpolator,81
typelevel,vault,81
davidledwards,zookeeper,80
outr,reactify,80
webjars,webjars-play,80
zio,zio-cache,79
tersesystems,blindsight,79
typelevel,otel4s,78
kitlangton,animus,78
fd4s,vulcan,77
shiftleftsecurity,overflowdb,76
eventstore,eventstore.akka.persistence,74
virtuslab,inkuire,74
lightbend-labs,lightbend-emoji,72
rallyhealth,weepickle,72
weso,shaclex,72
rescala-lang,rescala,71
openmole,mgo,70
raquo,waypoint,70
tpolecat,typename,70
scalqa,scalqa,70
dacr,jassh,69
typelevel,coop,68
typelevel,scalacheck-effect,68
chronoscala,chronoscala,67
xuwei-k,httpz,67
failurewall,failurewall,66
virtuslab,avocado,66
lightbend,ssl-config,66
typelevel,cats-effect-cps,64
davenverse,epimetheus,63
ocadotechnology,sttp-oauth2,62
cchantep,acolyte,62
sciss,fingertree,61
japgolly,univeq,60
monix,monix-connect,60
zio,zio-process,60
davenverse,mules,59
geirolz,advxml,59
outr,scarango,59
ironcorelabs,cats-scalatest,59
kirill5k,mongo4cats,58
scalawilliam,xs4s,58
apimorphism,telegramium,57
scodec,scodec-stream,57
armanbilge,calico,57
lunduniversity,introprog-scalalib,57
zio,zio-metrics-legacy,57
scalikejdbc,scalikejdbc-play-support,57
avast,datadog4s,56
sirthias,macrolizer,55
mdedetrich,scalajson,55
virtuslab,pretty-stacktraces,55
